ubigeo,Provincia,bajo_peso,desnutricion_cronica,anemia,ivia,ide,idh,devengado_actividad,devengado_inversion
Ubigeo,"Región /
Provincia",Número de Provincias 3/,"Población de niños menores de un año
(CENSO 2017)
1a/","Número anual de nacidos vivos con bajo peso según distrito de residencia habitual de la madre (2020)
5/",Total,"Distritos dentro de Meta 4
11/","Índice de Densidad del Estado -IDE
(2017)
12/","Pobreza extrema: Número de habitantes en situación de pobreza extrema 
17b/","Población Ocupada
(2007) 
18/"
120300,CHANCHAMAYO,NA,2855,150,2383,5,0.68509225521897399,7500.4960137793396,64233
120900,CHUPACA,NA,868,73,891,2,0.72234783243031797,2742.0680895392902,19037
120200,CONCEPCIÓN,NA,916,83,731,6,0.71853410195744205,5561.3492419822996,18961
120100,HUANCAYO,NA,8772,619,7292,12,0.80121865385714697,10831.464195439499,172189
120400,JAUJA,NA,1282,102,1089,8,0.76776728454955401,5516.4875522898801,28936
120500,JUNÍN,NA,371,35,301,1,0.72914973859611598,2853.7368845241099,9244
120600,SATIPO,NA,5612,192,3132,8,0.58072448139079202,10272.927061115201,70150
120700,TARMA,NA,1491,94,1153,2,0.75187238855398197,7534.5585321916296,42825
120800,YAULI,NA,508,62,374,2,0.77755492241102098,827.13816155846598,18796
150100,PROVINCIA DE LIMA,1,121819,6841,86003,43,0.83323351527291101,311246.82699999999,3286770
150200,BARRANCA,NA,2373,81,1422,4,0.80725958680898102,1292.4079254036201,50480
150300,CAJATAMBO,NA,99,2,35,1,0.76213000990678503,1259.9948787205401,2864
150400,CANTA,NA,170,11,156,NA,0.77395845708759603,489.08471895195697,6008
150500,CAÑETE,NA,4521,186,2785,3,0.75310871463171203,2185.9652058747602,82659
150600,HUARAL,NA,2894,144,2443,2,0.76298918278751904,2210.69950586299,65858
150700,HUAROCHIRÍ,NA,877,65,1510,7,0.74970169058784797,3712.8874605998599,32612
150800,HUAURA,NA,3961,143,2896,7,0.78172424198827095,3098.8048528836198,77761
150900,OYÓN,NA,254,13,189,2,0.81144317017586098,651.50391407589302,7550
151000,YAUYOS,NA,251,13,120,4,0.80702793970972997,2822.42389282878,12764
190200,DANIEL ALCIDES CARRIÓN,NA,527,37,496,1,0.64739480216775303,10565.8622879215,12313
190300,OXAPAMPA,NA,1842,122,1981,2,0.65461332918642401,25698.784937150998,32420
190100,PASCO,NA,2155,213,1851,3,0.75506999233580396,18251.789438292599,49019
250200,ATALAYA,NA,1614,86,956,2,0.48931411931246199,4402.2900717135999,12955
250100,CORONEL PORTILLO,NA,8670,661,6824,5,0.66397663263374096,2428.0014620619099,121102
250300,PADRE ABAD,NA,1521,89,1464,NA,0.62781513934614797,861.964182980798,20103
250400,PURÚS,NA,56,7,54,NA,0.44967001573199999,78.876145899999997,1053
030100,ABANCAY,NA,1941,91,1513,6,0.78919757502992705,9242.7701161377408,31552
030200,ANDAHUAYLAS,NA,2514,158,2248,11,0.75381616932685802,23034.118390807798,42292
030300,ANTABAMBA,NA,163,5,151,NA,0.67675559861850498,3658.10822410325,4079
030400,AYMARAES,NA,333,28,296,8,0.73073686856895503,4630.9409367508097,9224
030600,CHINCHEROS,NA,829,61,686,6,0.73469925894875798,11112.818081166,11857
030500,COTABAMBAS,NA,944,87,1044,2,0.655361238290182,18691.668514111301,7522
030700,GRAU,NA,325,26,351,3,0.71346608630191799,5374.3368398303701,5790
040100,AREQUIPA,NA,16006,737,12276,19,0.81882811815002599,11020.5845712019,340701
040200,CAMANÁ,NA,933,43,648,2,0.76065197793074402,854.19561523205903,22182
040300,CARAVELÍ,NA,663,22,551,3,0.72375426894555905,775.58179588046096,16677
040400,CASTILLA,NA,470,13,360,1,0.78035267414317,2573.2542209042999,16479
040500,CAYLLOMA,NA,1551,48,1320,2,0.70462489651295301,6450.6302904714203,32911
040600,CONDESUYOS,NA,234,11,93,3,0.66858624990237203,2240.0372600217602,8408
